Name,RegID,Status,ClinicName,Link
Louis Albanese,10628,Member,Fonthill Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10628
Ahmad Al-Barazanchi,13166,Member,Riverside Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13166
Saleh Al-Bargash,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13418
Nada Albatish,76284,Member,Smile Story Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76284
Mudhar Al-bayati,105668,Member,Rose City Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105668
Ilham Al-Bazzaz,115038,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115038
Mayasah Albeer,99804,Member,Bloor West Smiles Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99804
Maha Al-Beitawi,114513,Member,Village Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114513
Lawrence Alber,11175,Member,Toronto Beach Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11175
Danielle Albert,58712,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=58712
Francine Albert,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13948
Richard Albert,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8229
Roland Albert,5354,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5354
Cristina Albert Balthazar,101533,Member,Rogers Road Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101533
Jonathan Albilia,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68780
Jordan Albino,117635,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117635
Harold Albrecht,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7402
Mohammed Albulowey,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=78499
Mark Albus,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10477
Salvador Alcaire,113727,Member,Dr. Kevin Russelo & Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113727
Rana Al-Dabagh,100942,Member,Smilecrafters Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100942
Firas Al-Dabbagh,99864,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99864
Laith Al-Dabbagh,14010,Member,Plains Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14010
Akeel Al-Dabboos,97033,Member,A Dental Office.Com,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=97033
Marwah Al-Dahhan,118111,Member,City Square Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118111
Nagham Aldajani,118049,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118049
Mahmoud Al-Dajani,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=89304
Vinicio Aldana,12295,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12295
Rand Alderi,501997,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501997
Elga Alders,9859,Volunteer Dentist – Practising in a not-for-profit capacity only,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9859
Peter Aldor,6761,Member,Bloor Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6761
Musfer Aldossri,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=111131
Lubna Al-Douri,114943,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114943
Nasibeh Alebouyeh,502447,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502447
Anna Aleinikov,12728,Member,Dentistry On Liverpool,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12728
Dua Aleir,115329,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115329
Maricris Alejandro,502430,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502430
Fouad Alethawy,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113219
Charles Alexander,52657,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=52657
Corina Alexander,68442,Member,Alexander Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68442
Nardine Alexander,121272,Member,York Lanes Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121272
Syeda Alexander,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13701
Kathy Alexiou,12922,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12922
John Alexis,10683,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10683
Mark Alexis,11447,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11447
Thecla Alexis,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10835
Gordon Alexiuk,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8326
James Alexiuk,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9598
Carol Alexopoulos,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10347
George Alexopoulos,11591,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11591
Ali Al-Ezzi,502130,Member,Shoal Harbour Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502130
Sara Al-Fadda,55028,Member,"University of Toronto, Fac of Dent",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55028
Mahmood Alfakheri,503721,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503721
Claudia Alfaro de Palma,118685,Member,Mountainview Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118685
Besher Alfarra,68594,Member,Barrhaven South Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68594
Abdulsalam Al-Fasih,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91588
Anwar Al-Fayume,150020,Member,University of Western Ontario,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150020
Jose Alfonso Canals,14035,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14035
Osamah Al-Gayyali,123361,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123361
Sasan Alghabi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13683
Abdulrahman Alghamdi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=82292
Mohammed Alghamdi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68969
Samara Al-Ghanim,121162,Member,Upper Bluffs Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121162
Abdulrahman Algharras,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81929
Anmar Al-Glao,103921,Member,Pearlee Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103921
Yasmin Al-Hadithi,119380,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119380
Rand Al-Hafidh,97060,Member,Pape Finch Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=97060
Amjed Al-Hajjaj,105060,Member,Northern Dental New Liskeard,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105060
Dhia Al-Hakak,14115,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14115
Mohammed Al-Hamami,110483,Member,Oaktree Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=110483
Abdullah Al-Harkan,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81077
Majid Alharthi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=94542
Mohammed Al-Hashimi,103886,Member,Altima Cambridge Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103886
Nawfal Al-Hashimi,88739,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88739
Mohammed Alhasoon,502307,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502307
Mohammed Alheraibi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122525
Jabir Alhumaid,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105599
Ahmed Alhussain,80795,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=80795
Ahmad Alhussein,115093,Member,Smile Shapers Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115093
Amer Ali,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150365
Amin Ali,119577,Member,Belleville Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119577
Asraa Ali,64916,Member,Lakeview Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=64916
Carissa Ali,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150102
Dhafir Ali,89501,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=89501
Hozak Ali,121271,Member,Ava Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121271
Lmis Ali,101039,Member,Oakview Dental Group,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101039
Maaz Ali,503607,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503607
Madi Ali,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501289
Muneeb Ali,101061,Member,City Centre Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101061
Nahim Ali,13615,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13615
Nilofar Ali,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=80632
Nina Ali,115094,Member,Hurontario-Harborn Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115094
Raheel Ali,114708,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114708
Rooma Ali,35923,Member,Kipling Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=35923
Sahar Ali,150121,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150121
Showkat Ali,92171,Member,Westdale Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92171
Syed Babur Ali,503272,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503272
Tahir Ali,117050,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117050
Tarek Ali,111217,Member,One Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=111217
Ussama Ali,503083,Member,Dentistry on Wellington,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503083
Waseema Ali,14117,Member,Stouffville Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14117
Yasin Ali,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37510
Zeeshan Ali,75473,Member,Ancaster Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=75473
Mir Ali Khan,105061,Member,Park Haven Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105061
Saina Aliakbarrad,84622,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=84622
Amin Alibhai,53109,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53109
Farshid Alikhani,100512,Member,Rattray Park Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100512
Samin Alikhanzadeh,123466,Member,Margolian Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123466
Farideh Ali-Mohammadi,100344,Member,Golden Care Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100344
Mukhabbat Alimova,115020,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115020
Gamaliel Alina,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14279
Behrouz Alirezaei,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76049
Najmeh Alishavandi,150446,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150446
Fidaa Aliwaiwi,118006,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118006
Gita Alizadeh,12572,Volunteer Dentist – Practising in a not-for-profit capacity only,Evergreen Health Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12572
Tharwat Al-Izzi,112721,Member,Izzi Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=112721
Numan Aljadba,502412,Member,Smile Town Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502412
Haider Al-Jahlawi,100620,Member,Dawn Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100620
Waled Al-Janabe,103878,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103878
Mohamed Al-Janabi,91668,Member,Spring Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91668
Ahmad Al-Janaby,53194,Member,Brantford Mall Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53194
Badr Aljandan,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81904
Hussah Aljarallah,501032,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501032
Balsam Al-Jawad,106005,Member,Maple Ridge Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=106005
Rawa Al-Jawad,99803,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99803
Dana Aljawhary,113728,Member,Unite H.E.R.E. Wellness and Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113728
Thikriat Al-Jewair,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=69254
Ali Aljubainawi,504333,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504333
Ahmed Alkahlout,504577,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504577
Banan Al-Katranji,115072,Member,Westheights Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115072
Hasanain Al-Khafaji,112477,Member,Dentist @ Oakville,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=112477
Saba Al-Khafaji,121817,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121817
Ahmed Alkhalili,117301,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117301
Shahad Alkhalili,103809,Member,Woodbine Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103809
Firas Al-Khalili,13739,Member,Terry Fox Drive Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13739
Dania Alkhani,110274,Member,Sedation Dental Group,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=110274
Morad Alkhasawneh,84623,Member,Forest City Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=84623
Karim Al-Khatib,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119544
Gheed Al-Khoja,84695,Member,Smileville Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=84695
Nawras Al-Khoury,502391,Member,Moose Lake Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502391
Moussa Alkhoury Alyan,121913,Member,You Make Me Smile Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121913
Reem Al-Khuzaie,123913,Member,Centenary Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123913
Hasan Alkumru,81707,Member,Dentalpoint on Wilson,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81707
Pinar Alkumru,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=97585
Mohammed Al-Kutbi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502053
Alla,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150283
Fayaz Alladina,37861,Member,Alladina Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37861
Vivienne Allain,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11721
Mahnaz Allambeigi,113359,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113359
Mohammed Al-Lami,121041,Member,Blue Heron Dental Group,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121041
Kenneth V. Allan,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=3774
Stewart Allan,9373,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9373
David Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6073
Donald Allen,6550,Member,Avon Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6550
Edward Allen,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7807
Graham Allen,9120,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9120
Heather Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12058
John Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6762
John Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12485
Lauren Allen,96776,Member,Stirling Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96776
Lawrence Allen,10348,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10348
Leslie Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11802
Norman Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6714
Rebecca Allen,503190,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503190
Rodney Allen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13277
Scott Allen,62737,Member,Allen Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=62737
Shane Allen,65562,Member,Allen Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=65562
Mary Alley,100618,Member,Port Credit Smiles,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100618
Charles Alleyn,12262,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12262
Amyn Allidina,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76445
Sarah Allidina,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=77326
Ronald Allingham,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8172
Christopher Allington,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=63023
Stanford Allington,8260,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8260
Craig Allison,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10629
Ruba Al-Luaibi,116859,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116859
Theresa Allum,10114,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10114
Nabeel Almaa,505154,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505154
Mohamad Thabit Al-Maaz,124170,Member,Downtown Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=124170
Samer Almakki,122414,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122414
Marwah Almarwan,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502506
Shazia Almas,120716,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=120716
Tafani Al-Mashehari,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=107008
Mazen Almasri,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76537
Irene Almazan-Mabutol,39165,Member,Glen Erin Medical-Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=39165
Dusan Almer,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9861
Yousef Al-Mohaimeed,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68145
Mina Al-Mosawi,96911,Member,Burlington Pediatric Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96911
Zolfakar Al-Mousawy,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503121
Hussein Al-Mufti,109880,Member,Southgate Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=109880
Mahdy Al-Mulla,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=56180
Basam Almunajim,110708,Member,LightHouse Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=110708
Ala Al-Musawi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61808
Faisal Al-Musawi,504581,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504581
Milad Al-Musfi,108021,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108021
Ahmed Almuzayyen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=500991
Doaa Alnaggar,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=106069
Subhi Alnahas,116136,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116136
Khalid Alnahdi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91701
Seema Alnajar,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150494
Thana Al-Najar,115253,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115253
Zakaria Al-Najjar,107065,Member,Redwood Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=107065
Osamah Alnakhli,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502262
Mohammed Al-Naqeeb,121021,Member,Kingwest Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121021
Khalid Alnassar,118314,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118314
Nabil Al-Nasseri,95389,Member,Village Creek Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=95389
Mukhtar Alnoaimi,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=93052
Yousif Al-Noorachi,505349,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505349
Muhammed Al-Nuaimi,503966,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503966
Ahmed Al-Obaidi,95499,Member,Tomken Centre Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=95499
Taif Al-Obaidy,103007,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103007
Athmar Al-Obeidi,35922,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=35922
Mohamad Alolabi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=74994
Hind Alomar,118086,Member,Keswick Dental Studio,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118086
Maher Alomar,117977,Member,Wafa Dental Center,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117977
Bayan Aloran,501624,Member,MC Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501624
Abdul Rahman Al-Osman,39229,Member,University of Western Ontario,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=39229
Kevin Alperstein,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12364
Caroline Alpert,500856,Member,Dr. Jaime Muyal & Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=500856
Abdulhakeem Alqahtani,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117850
Reta Al-Rais,88394,Member,Nebo Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88394
Yousif Al-Rawi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91587
Hasan Alremthi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85856
Maha Alrfooh,502191,Member,Delta Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502191
Usama Al-Riahi,84696,Member,Mountain Mall Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=84696
Enas Al-Rikabi,503194,Member,Chiesa Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503194
Ibtisam Al-Riyami,150449,Member,Hospital for Sick Children - Dental Department,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150449
Rudha Al-Rohani,96912,Member,St. Joseph's Health Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96912
Ban Alrubai,116372,Member,Great Lakes Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116372
Hatem Al-Rubaiy,13996,Member,Herongate Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13996
Falak Al-Rubaye,104039,Member,Eglinton Oak Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=104039
Hayder Al-Rubaye,116139,Member,Strasburg Smiles Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116139
Noor Al-Rubaye,114969,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114969
Sinan Al-Rubaye,108959,Member,Mill Ridge Family Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108959
Ali Al-Rubayee,103901,Member,Disera Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=103901
Hasan Al-Rubayee,112700,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=112700
Oras Al-Rudainy,81344,Member,Noor Dental Etobicoke,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81344
Walid Al-Saadi,76690,Member,Rideau Town Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76690
Wasan Al-Saadi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92173
Mohamed Al-Sabagh,110494,Member,Alpine Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=110494
Ghada Al-Sabawi,49958,Member,Ottawa Public Health,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=49958
Batool Alsabbagh,115252,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115252
Sharif Alsabbagh,92324,Member,Alba Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92324
Lisa Al-Sada,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53618
Dae Al-Saeedi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108270
Mays Al-Saffar,112502,Member,Sunny Shores Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=112502
Marwa Al-Safi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122229
Ayad Al-Sagheer,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37777
